02-24 17:05:21.797 27799 27814 I QueryController: Matched selector: UiSelector[RESOURCE_ID=android:id/search_src_text] <<==>> [android.view.accessibility.AccessibilityNodeInfo@8007ed1f; boundsInParent: Rect(0, 0 - 513, 50); boundsInScreen: Rect(58, 34 - 571, 84); packageName: com.sec.android.app.launcher; className: android.widget.EditText; text: Settings; error: null; maxTextLength: 1000; contentDescription: null; viewIdResName: android:id/search_src_text; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]]
02-24 17:05:21.801 27799 27814 D InteractionController: clickAndSync(314, 59)
02-24 17:05:21.802   733  2456 D InputDispatcher: Inject motion (27782): action=0x0, eventTime=140847951000000, displayId=0
02-24 17:05:21.803   733  1450 I InputDispatcher: Delivering touch to (1636): action: 0x4, toolType: 1
02-24 17:05:21.803   733  1450 I InputDispatcher: Delivering touch to (2660): action: 0x0, toolType: 1
02-24 17:05:21.803   733  1450 I InputDispatcher: Delivering touch to (1636): action: 0x0, toolType: 1
02-24 17:05:21.803  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: ViewPostImeInputStage processPointer 0
02-24 17:05:21.804  2660  2660 I System.out: Rect(0, 0 - 768, 92)
02-24 17:05:21.906   733  1712 D InputDispatcher: Inject motion (27782): action=0x1, eventTime=140848055000000, displayId=0
02-24 17:05:21.907   733  1450 I InputDispatcher: Delivering touch to (2660): action: 0x1, toolType: 1
02-24 17:05:21.907   733  1450 I InputDispatcher: Delivering touch to (1636): action: 0x1, toolType: 1
02-24 17:05:21.908  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: ViewPostImeInputStage processPointer 1
02-24 17:05:21.910  2660  2660 D InputMethodManager: HSIFW - flag : 0 Pid : 2660
02-24 17:05:21.911   733  6023 V InputMethodManagerService: Client requesting input be hidden, flags : 0
02-24 17:05:21.911   733  6023 V InputMethodManagerService: hideCurrentInputLocked : shouldHideSoftInput is false
02-24 17:05:21.913  2660  2838 D SamsungAnalytics:1.8.33: [QueueManager] queue size over. remove oldest log
02-24 17:05:21.914  2660  2838 D SamsungAnalytics:1.8.33: [DLCBinder] already send register request
02-24 17:05:21.914  2660  2660 D StageManager: onStartForResult : result -1 to com.android.launcher3.allapps.controller.AppsController@bdfcf68
02-24 17:05:21.925   733  4145 D TelephonyManager: getAllCellInfo : Caller (PID / UID / TID): 733 / 1000 / 4145
02-24 17:05:21.934   733 28804 D ActivityTrigger: activityStartTrigger: Activity is Triggerred in full screen ApplicationInfo{db81d22 com.samsung.android.app.galaxyfinder}
02-24 17:05:21.934   733 28804 E ActivityTrigger: activityStartTrigger: not whiteListedcom.samsung.android.app.galaxyfinder/com.samsung.android.app.galaxyfinder.GalaxyFinderActivity/714000100
02-24 17:05:21.937   733 28804 D InputDispatcher: Focused application set to: xxxx
02-24 17:05:21.939   733 28804 D InputDispatcher: Focus left window: 2660
02-24 17:05:21.940   733 28804 D ActivityTrigger: activityResumeTrigger: The activity in ApplicationInfo{db81d22 com.samsung.android.app.galaxyfinder} is now in focus and seems to be in full-screen mode
02-24 17:05:21.940   733 28804 E ActivityTrigger: activityResumeTrigger: not whiteListedcom.samsung.android.app.galaxyfinder/com.samsung.android.app.galaxyfinder.GalaxyFinderActivity/714000100
02-24 17:05:21.940   733 28804 D ActivityTrigger: ActivityTrigger activityPauseTrigger
02-24 17:05:21.967  2660  2660 D ViewRootImpl@c29b6ce[LauncherActivity]: MSG_WINDOW_FOCUS_CHANGED 0
02-24 17:05:21.969  2660  2660 V InputMethodManager: Starting input: tba=android.view.inputmethod.EditorInfo@dbf4b1d nm : com.sec.android.app.launcher ic=null
02-24 17:05:21.970  2660  2660 I InputMethodManager: startInputInner - mService.startInputOrWindowGainedFocus
02-24 17:05:21.970   733  1715 D InputMethodManagerService: setCurrentInputInfo - inputContext : null eidtorInfo : android.view.inputmethod.EditorInfo@31d180f missingMethods : 0
02-24 17:05:21.971   733  1715 D InputTransport: Input channel constructed: fd=502
02-24 17:05:21.971   733  1715 D InputTransport: Input channel destroyed: fd=502
02-24 17:05:21.971  2660  2660 D InputTransport: Input channel constructed: fd=73
02-24 17:05:21.971  2660  2660 D InputTransport: Input channel destroyed: fd=84
02-24 17:05:21.972  2274  2274 I SKBD    : SamsungKeypad [IMI] onStartInput - caller pid : 2660, caller uid : 10043
02-24 17:05:21.979  2660  2660 V Launcher: Launcher.onPause()
02-24 17:05:21.979  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection false
02-24 17:05:21.988   733  1519 D ActivityTrigger: activityResumeTrigger: The activity in ApplicationInfo{db81d22 com.samsung.android.app.galaxyfinder} is now in focus and seems to be in full-screen mode
02-24 17:05:21.988   733  1519 E ActivityTrigger: activityResumeTrigger: not whiteListedcom.samsung.android.app.galaxyfinder/com.samsung.android.app.galaxyfinder.GalaxyFinderActivity/714000100
02-24 17:05:22.008 27842 27842 E Zygote  : v2
02-24 17:05:22.009 27842 27842 W SELinux : SELinux selinux_android_compute_policy_index : Policy Index[2],  Con:u:r:zygote:s0 RAM:SEPF_SECMOBILE_7.1.1_0003, [-1 -1 -4 -1 0 1]
02-24 17:05:22.011 27842 27842 I SELinux : SELinux: seapp_context_lookup: seinfo=platform, level=s0:c512,c768, pkgname=com.samsung.android.app.galaxyfinder
02-24 17:05:22.085 27842 27842 I art     : Starting a blocking GC AddRemoveAppImageSpace
02-24 17:05:22.086 27842 27842 W System  : ClassLoader referenced unknown path: /system/priv-app/Finder_v7/lib/arm
